period,revenue,gross_profit,operating_income,net_income,total_assets,total_liabilities,shareholders_equity,current_assets,current_liabilities,inventory,operating_cash_flow,capital_expenditure
113Q1,592644201,314505269,249018306,225484877,5797891082,2172178628,3625712454,1698199704,941336530,588529910,,
113Q4,,,,,6593300084,2568362135,4024937949,2127027043,1284924964,577055750,,
114Q1,839253664,493395076,407080808,361564124,6666777973,2531662963,4135115010,2994804250,1073082880,596939944,,
