period,revenue,gross_profit,operating_income,net_income,total_assets,total_liabilities,shareholders_equity,current_assets,current_liabilities,inventory,operating_cash_flow,capital_expenditure
112Q4,,,,,6591958500,3323059600,3268898900,3266047043,2054394904,192920437,,
113Q1,592644201,314505269,249018306,225221263,5797891082,2865713554,2932177528,2459620086,1775868898,200500334,,
114Q1,839253664,493395076,407080808,360732661,7333087420,3761877677,3571209743,3733520100,1973992750,241482270,,
