period,revenue,gross_profit,operating_income,net_income,total_assets,total_liabilities,shareholders_equity,current_assets,current_liabilities,inventory,operating_cash_flow,capital_expenditure
113Q1,592644201,314505269,249018306,225484877,3665754824,2172174828,1493579996,1099939530,817868868,200500334,,
114Q1,839253664,493395076,407080808,361564124,4601424657,2531662963,2069761694,1073982198,975731429,241482270,,
