period,revenue,gross_profit,operating_income,net_income,total_assets,total_liabilities,shareholders_equity,current_assets,current_liabilities,inventory,operating_cash_flow,capital_expenditure
113年1月1日至3月31日,592644201,314505269,249018306,225484877,5797893082,3665714254,2132178828,2499699578,1279174434,320688526,,
114年1月1日至3月31日,839253664,493395076,407080808,361564124,7333087420,4323020846,3010066574,3333420539,1973882750,300772972,,
