period,revenue,gross_profit,operating_income,net_income,total_assets,total_liabilities,shareholders_equity,current_assets,current_liabilities,inventory,operating_cash_flow,capital_expenditure
113Q1,592644201,314505269,249018306,225221263,8707087580,2172174828,6534912752,2869520526,817025979,63279274,,
114Q1,839253664,493395076,407080808,360732661,9993420830,2531662963,7461757867,3293387855,1073082780,59943500,,
