period,revenue,gross_profit,operating_income,net_income,total_assets,total_liabilities,shareholders_equity,current_assets,current_liabilities,inventory,operating_cash_flow,capital_expenditure
114Q1,839253664,493395076,407080808,361564124,4051624657,2531662963,1519961694,3713907420,1073082001,241682270,,
113Q1,592644201,314505269,249018306,225484877,3665731884,2172170828,1493561056,2999576022,817063868,200503334,,
