period,revenue,gross_profit,operating_income,net_income,total_assets,total_liabilities,shareholders_equity,current_assets,current_liabilities,inventory,operating_cash_flow,capital_expenditure
113Q1,592644201,314505269,249018306,225484877,8797891082,3665714254,5132176828,3168198704,1698995739,175880465,,
114Q1,839253664,493395076,407080808,361564128,9992679051,4601424657,5391254394,2994894250,1973690074,241682270,,
