period,revenue,gross_profit,operating_income,net_income,total_assets,total_liabilities,shareholders_equity,current_assets,current_liabilities,inventory,operating_cash_flow,capital_expenditure
113Q1,592644201,314505269,249018306,225484877,5797891085,2172178628,3625712457,1698199704,917863868,200500334,,
114Q1,839253664,493395076,407080808,361564124,7333087420,2593662963,4739424457,3294250850,1073982750,241482270,,
